name	category	bundled	note
aardvark-dns	HANDLED	contrib	explicit tar xf in build.sh OR multi-source
accountsservice	MESON-SUBPROJECTS-VENDORED	subprojects	subprojects/ contains vendored trees: ['packagecache']
appstream-glib	BENIGN-CONTRIB-LIKELY	contrib	contrib/ dir alone, usually tests/examples/doc-only
argcomplete	BENIGN-CONTRIB-LIKELY	contrib	contrib/ dir alone, usually tests/examples/doc-only
at-spi2-core	MESON-SUBPROJECTS-WRAP	subprojects	2 .wrap fallbacks, no vendored trees — benign
atkmm	MESON-SUBPROJECTS-WRAP	subprojects	2 .wrap fallbacks, no vendored trees — benign
cairo	MESON-SUBPROJECTS-WRAP	subprojects	7 .wrap fallbacks, no vendored trees — benign
cairomm	MESON-SUBPROJECTS-WRAP	subprojects	2 .wrap fallbacks, no vendored trees — benign
cairomm1	MESON-SUBPROJECTS-WRAP	subprojects	2 .wrap fallbacks, no vendored trees — benign
colord	BENIGN-CONTRIB-LIKELY	contrib	contrib/ dir alone, usually tests/examples/doc-only
colord-gtk	BENIGN-CONTRIB-LIKELY	contrib	contrib/ dir alone, usually tests/examples/doc-only
conmon	BENIGN-CONTRIB-LIKELY	contrib	contrib/ dir alone, usually tests/examples/doc-only
containers-common	NEEDS-MANUAL-REVIEW	contrib,vendor	multi-bundled: ['contrib', 'vendor']
cppunit	BENIGN-CONTRIB-LIKELY	contrib	contrib/ dir alone, usually tests/examples/doc-only
dbus-python	MESON-SUBPROJECTS-VENDORED	subprojects	subprojects/ contains vendored trees: ['dbus-gmain']
dconf	MESON-SUBPROJECTS-VENDORED	subprojects	subprojects/ contains vendored trees: ['gvdb']
doxygen	NEEDS-MANUAL-REVIEW	deps	multi-bundled: ['deps']
evince	MESON-SUBPROJECTS-WRAP	subprojects	1 .wrap fallbacks, no vendored trees — benign
exiv2	MESON-SUBPROJECTS-WRAP	contrib,subprojects	5 .wrap fallbacks, no vendored trees — benign
firefox	NEEDS-MANUAL-REVIEW	third_party	third_party/ bundling without explicit extract or multi-source
fontconfig	MESON-SUBPROJECTS-VENDORED	subprojects	subprojects/ contains vendored trees: ['libintl']
freerdp	NEEDS-MANUAL-REVIEW	external,third-party	multi-bundled: ['external', 'third-party']
freetype2	MESON-SUBPROJECTS-WRAP	subprojects	3 .wrap fallbacks, no vendored trees — benign
freetype2-pass1	MESON-SUBPROJECTS-WRAP	subprojects	3 .wrap fallbacks, no vendored trees — benign
fuse-overlayfs	BENIGN-CONTRIB-LIKELY	contrib	contrib/ dir alone, usually tests/examples/doc-only
gdk-pixbuf	MESON-SUBPROJECTS-WRAP	subprojects	4 .wrap fallbacks, no vendored trees — benign
gdk-pixbuf-pass2	MESON-SUBPROJECTS-WRAP	subprojects	4 .wrap fallbacks, no vendored trees — benign
gegl	MESON-SUBPROJECTS-VENDORED	subprojects	subprojects/ contains vendored trees: ['libnsgif', 'poly2tri-c']
ghostscript	BENIGN-CONTRIB-LIKELY	contrib	contrib/ dir alone, usually tests/examples/doc-only
git	MESON-SUBPROJECTS-WRAP	contrib,subprojects	5 .wrap fallbacks, no vendored trees — benign
gjs	MESON-SUBPROJECTS-VENDORED	subprojects	subprojects/ contains vendored trees: ['gobject-introspection-tests']
glib-networking	MESON-SUBPROJECTS-WRAP	subprojects	1 .wrap fallbacks, no vendored trees — benign
glib2	MESON-SUBPROJECTS-VENDORED	subprojects	subprojects/ contains vendored trees: ['gvdb', 'packagefiles']
glib2-bootstrap	MESON-SUBPROJECTS-VENDORED	subprojects	subprojects/ contains vendored trees: ['gvdb', 'packagefiles']
glibmm	MESON-SUBPROJECTS-WRAP	subprojects	2 .wrap fallbacks, no vendored trees — benign
glibmm2	MESON-SUBPROJECTS-WRAP	subprojects	2 .wrap fallbacks, no vendored trees — benign
glslang	NEEDS-MANUAL-REVIEW	DEPS,External	multi-bundled: ['DEPS', 'External']
gnome-bluetooth	MESON-SUBPROJECTS-WRAP	contrib,subprojects	1 .wrap fallbacks, no vendored trees — benign
gnome-calculator	MESON-SUBPROJECTS-WRAP	subprojects	1 .wrap fallbacks, no vendored trees — benign
gnome-connections	MESON-SUBPROJECTS-VENDORED	subprojects	subprojects/ contains vendored trees: ['gtk-frdp']
gnome-control-center	MESON-SUBPROJECTS-VENDORED	subprojects	subprojects/ contains vendored trees: ['gvc', 'libgxdp']
gnome-disk-utility	MESON-SUBPROJECTS-WRAP	subprojects	1 .wrap fallbacks, no vendored trees — benign
gnome-music	MESON-SUBPROJECTS-VENDORED	subprojects	subprojects/ contains vendored trees: ['shared-modules']
gnome-online-accounts	MESON-SUBPROJECTS-WRAP	subprojects	4 .wrap fallbacks, no vendored trees — benign
