key	legacy_id	kind	owner	source	selector	target	fingerprint	program	interpreter	launched_by	runs_as	reads	writes	executes	network_hosts	verification	capabilities_needed	child_profile_recommendation	shape	launch_risk
archive:accountsservice:post_install	A024	archive_lifecycle	accountsservice	packages/desktop/accountsservice/build.sh	post_install	archive:.scripts/post_install.sh	sha256:15e51ad16915a694ff076f97ba82f4054e5a4eafaa40d2e368c1450594a1884c	archive:accountsservice/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	GLib schema XML/overrides	gschemas.compiled	glib-compile-schemas	none	body SHA-256 15e51ad16915a694ff076f97ba82f4054e5a4eafaa40d2e368c1450594a1884c bound to base recipe; package archive/index trust precedes extraction	root schema-directory DAC	transitional Cx:archive-lifecycle/glib-schemas; end state stable package-owned Px; never inherit pkm	glib-schemas	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:adw-gtk3-theme:post_install	A-NOOP-001	archive_noop	adw-gtk3-theme	packages/desktop/adw-gtk3-theme/build.sh	post_install	archive:.scripts/post_install.sh	sha256:16630290f8e8973bd653fb3f38b4e774fde0d147aaae97fcedd16fd36c42d600	archive:adw-gtk3-theme/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root today	none	none	none	none	exact body SHA-256 sha256:16630290f8e8973bd653fb3f38b4e774fde0d147aaae97fcedd16fd36c42d600; conservative no-op classifier with mutation controls	none	remove declarations or make hook sealing skip semantically empty bodies; no child execution authority	no-op-aggregate	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:adwaita-icon-theme:post_install	A025	archive_lifecycle	adwaita-icon-theme	packages/desktop/adwaita-icon-theme/build.sh	post_install	archive:.scripts/post_install.sh	sha256:78bc8a739956baa83f70e8be95c3aa664d140274e6de9a85fb5bf1dc881f8428	archive:adwaita-icon-theme/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	one icon theme	icon-theme.cache	gtk-update-icon-cache	none	body SHA-256 78bc8a739956baa83f70e8be95c3aa664d140274e6de9a85fb5bf1dc881f8428 bound to base recipe; package archive/index trust precedes extraction	root theme-directory DAC	transitional Cx:archive-lifecycle/icon-cache; end state stable package-owned Px; never inherit pkm	icon-cache	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:alsa-utils:post_install	A026	archive_lifecycle	alsa-utils	packages/desktop/alsa-utils/build.sh	post_install	archive:.scripts/post_install.sh	sha256:1ff59d0c49f8a53644deb1200e93b367bb932f93e76a9b411e132fdab88875c3	archive:alsa-utils/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	udev rules and sysfs device state	udev daemon runtime rules/state	udevadm	none	body SHA-256 1ff59d0c49f8a53644deb1200e93b367bb932f93e76a9b411e132fdab88875c3 bound to base recipe; package archive/index trust precedes extraction	udev control socket and device-event authority	transitional Cx:archive-lifecycle/udev-refresh; end state stable package-owned Px; never inherit pkm	udev-refresh	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:apache-httpd:post_install	A096	archive_lifecycle	apache-httpd	packages/extra/apache-httpd/build.sh	post_install	archive:.scripts/post_install.sh	sha256:503cf639286a6ebd06ec01b2aea95ce2455e9916cc0004ce116b9ef584a750f4	archive:apache-httpd/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	Apache state dirs and AppArmor profile	state/log ownership; running-kernel AppArmor policy	chown; apparmor_parser	none	body SHA-256 503cf639286a6ebd06ec01b2aea95ce2455e9916cc0004ce116b9ef584a750f4 bound to base recipe; package archive/index trust precedes extraction	CAP_CHOWN; CAP_MAC_ADMIN; root state DAC	transitional Cx:archive-lifecycle/pkg-apache-httpd; end state stable package-owned Px; never inherit pkm	pkg-apache-httpd	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:appstream:post_install	A027	archive_lifecycle	appstream	packages/desktop/appstream/build.sh	post_install	archive:.scripts/post_install.sh	sha256:15e51ad16915a694ff076f97ba82f4054e5a4eafaa40d2e368c1450594a1884c	archive:appstream/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	GLib schema XML/overrides	gschemas.compiled	glib-compile-schemas	none	body SHA-256 15e51ad16915a694ff076f97ba82f4054e5a4eafaa40d2e368c1450594a1884c bound to base recipe; package archive/index trust precedes extraction	root schema-directory DAC	transitional Cx:archive-lifecycle/glib-schemas; end state stable package-owned Px; never inherit pkm	glib-schemas	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:at-spi2-core:post_install	A028	archive_lifecycle	at-spi2-core	packages/desktop/at-spi2-core/build.sh	post_install	archive:.scripts/post_install.sh	sha256:15e51ad16915a694ff076f97ba82f4054e5a4eafaa40d2e368c1450594a1884c	archive:at-spi2-core/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	GLib schema XML/overrides	gschemas.compiled	glib-compile-schemas	none	body SHA-256 15e51ad16915a694ff076f97ba82f4054e5a4eafaa40d2e368c1450594a1884c bound to base recipe; package archive/index trust precedes extraction	root schema-directory DAC	transitional Cx:archive-lifecycle/glib-schemas; end state stable package-owned Px; never inherit pkm	glib-schemas	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:at:post_install	A002	archive_lifecycle	at	packages/base/at/build.sh	post_install	archive:.scripts/post_install.sh	sha256:17392c1d05a7b183e934bf76f1c78428a0c62a4dc6d73989ec9048779adc6f4a	archive:at/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	/usr/lib/sysusers.d/at.conf; at binaries; optional spool sequence	account databases; at binary ownership/setid modes; /var/spool/at{jobs,spool}	systemd-sysusers; chown; chmod; install	none	body SHA-256 17392c1d05a7b183e934bf76f1c78428a0c62a4dc6d73989ec9048779adc6f4a bound to base recipe; package archive/index trust precedes extraction	CAP_CHOWN; CAP_FOWNER; CAP_FSETID; root DAC	transitional Cx:archive-lifecycle/pkg-at; end state stable package-owned Px; never inherit pkm	pkg-at	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:audacity:post_install	A097	archive_lifecycle	audacity	packages/extra/audacity/build.sh	post_install	archive:.scripts/post_install.sh	sha256:a531260285dafdf4836e5421a16341cf0a9608db2b53d189b650f45441248342	archive:audacity/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	desktop entries, icons and MIME XML	mimeinfo.cache; icon-theme.cache; MIME database	update-desktop-database; gtk-update-icon-cache; update-mime-database	none	body SHA-256 a531260285dafdf4836e5421a16341cf0a9608db2b53d189b650f45441248342 bound to base recipe; package archive/index trust precedes extraction	root application/icon/MIME DAC	transitional Cx:archive-lifecycle/desktop-icon-mime-cache; end state stable package-owned Px; never inherit pkm	desktop-icon-mime-cache	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:bibata-cursor-theme:post_install	A-NOOP-002	archive_noop	bibata-cursor-theme	packages/desktop/bibata-cursor-theme/build.sh	post_install	archive:.scripts/post_install.sh	sha256:257c60f38940d4207835a32d3175a8bf08cefb64f8cad60bf14443b583372cd1	archive:bibata-cursor-theme/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root today	none	none	none	none	exact body SHA-256 sha256:257c60f38940d4207835a32d3175a8bf08cefb64f8cad60bf14443b583372cd1; conservative no-op classifier with mutation controls	none	remove declarations or make hook sealing skip semantically empty bodies; no child execution authority	no-op-aggregate	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
