call_key	module	qualname	canonical_api	variant	dispatch_key	command_builder	fingerprint
pkm/hooks.py:run_archive_lifecycle_hook:_trace.traced_run:1	pkm/hooks.py	run_archive_lifecycle_hook	_trace.traced_run	trace	pkm-edge:archive-bash-mediator;archive:*	cmd	2227f19091dbb5fde7435ce677ad6141c1a6ecab08d7789c688a99b9e71b5698
pkm/hooks.py:run_archive_lifecycle_hook:subprocess.run:1	pkm/hooks.py	run_archive_lifecycle_hook	subprocess.run	subprocess	pkm-edge:archive-bash-mediator;archive:*	cmd	055c066ba4ebeb35c8094f2e1aae8d6b65a4f1ae31e4f0cb6de2b7f19494845c
pkm/hooks.py:run_canonical_hooks:_trace.traced_run:1	pkm/hooks.py	run_canonical_hooks	_trace.traced_run	trace	canonical:*	cmd	51a23631825d13451e5c4d5ddb6c2e66982b4681d858de635442e0935c000501
pkm/hooks.py:run_canonical_hooks:subprocess.run:1	pkm/hooks.py	run_canonical_hooks	subprocess.run	subprocess	canonical:*	cmd	6c2e854a7f781d3d8277c682e09d6c927e93ef72c79cbae6824fbb2e0e7857a6
pkm/installer.py:PackageInstaller._run_eula_helper:subprocess.run:1	pkm/installer.py	PackageInstaller._run_eula_helper	subprocess.run	subprocess	eula-helper:*	[str(helper_path)]	76196ecddd9eb9cfd0cd4875c7c7bff7b2bc47151c63ccc11d1441def5411c5b
pkm/installer.py:PackageInstaller._run_helper:subprocess.run:1	pkm/installer.py	PackageInstaller._run_helper	subprocess.run	subprocess	download-helper:*	[str(helper_path)]	ae749260ebeced106d6de9f3283e0166346068bb598563fc55e9f40f4614c88d
pkm/installer.py:PackageInstaller._run_post_install_hook:_trace.traced_run:1	pkm/installer.py	PackageInstaller._run_post_install_hook	_trace.traced_run	trace	stable-hook:*	cmd	9e8ace090d52742970afd6235a2829c105b14ec35d33f73c9ce9f8d15349ae6c
pkm/installer.py:PackageInstaller._run_post_install_hook:subprocess.run:1	pkm/installer.py	PackageInstaller._run_post_install_hook	subprocess.run	subprocess	stable-hook:*	cmd	d25885b75f1a1b75a2ebfd64d5d0c9d7c3a4401e679c5b5cd5b4a0aa2db31c24
pkm/pretxn.py:run_pre_transaction_hook:_trace.traced_run:1	pkm/pretxn.py	run_pre_transaction_hook	_trace.traced_run	trace	pre-transaction:*	[str(h)]	4a57501decdcd9e6a3d184df4db9def11936316d454ceccda32b6449b4654c4b
pkm/pretxn.py:run_pre_transaction_hook:subprocess.run:1	pkm/pretxn.py	run_pre_transaction_hook	subprocess.run	subprocess	pre-transaction:*	[str(h)]	944e07a5590a07cd714340b07234a8368417abbba7491a2b591ca9e71b15fed6
pkm/remover.py:PackageRemover._run_remove_hook:_trace.traced_run:1	pkm/remover.py	PackageRemover._run_remove_hook	_trace.traced_run	trace	stable-hook:*	cmd	02a677ad307384f1c0ceec6f587ed057be6eeb91ccf108ae2f37dda34e91cae9
pkm/remover.py:PackageRemover._run_remove_hook:subprocess.run:1	pkm/remover.py	PackageRemover._run_remove_hook	subprocess.run	subprocess	stable-hook:*	cmd	d25885b75f1a1b75a2ebfd64d5d0c9d7c3a4401e679c5b5cd5b4a0aa2db31c24
pkm/repo.py:RepoManager._verify_signature:_trace.traced_run:1	pkm/repo.py	RepoManager._verify_signature	_trace.traced_run	trace	pkm-edge:gpgv-verify	command	fc78b6c7574259321d8b58e47c41843c82896f1ddd70eb67a5f4d421247020a3
pkm/repo.py:RepoManager._verify_signature:subprocess.run:1	pkm/repo.py	RepoManager._verify_signature	subprocess.run	subprocess	pkm-edge:gpgv-verify	command	550c9244cc5986e32f22e219777befc051c329996e0b9dfef00e8c5197ddd2e9
pkm/repo.py:sign_index:_trace.traced_run:1	pkm/repo.py	sign_index	_trace.traced_run	trace	build-only:pkm.repo.sign_index:gpg	cmd	ff7df73591da79a5470fc1ec021aeb9241d998fcbbf19941a20467e6a77dd58b
pkm/repo.py:sign_index:subprocess.run:1	pkm/repo.py	sign_index	subprocess.run	subprocess	build-only:pkm.repo.sign_index:gpg	cmd	a1e62aff4fbc8934759d9b6429a137fc04919a84ef7466684ef6c8c9b40953ab
pkm/services.py:query_active_services:_trace.traced_run:1	pkm/services.py	query_active_services	_trace.traced_run	trace	pkm-edge:service-query	[SYSTEMCTL, 'is-active', '--quiet', unit]	2faf4423c33de6f7f350dcbc1abb2b0f0f487482ebc8d1dc8b96985a8969954f
pkm/services.py:query_active_services:subprocess.run:1	pkm/services.py	query_active_services	subprocess.run	subprocess	pkm-edge:service-query	[SYSTEMCTL, 'is-active', '--quiet', unit]	addeef807b7a0cac9f8cb772a280d3c8283254ff069ab92c2ebcca66d9a8c246
pkm/services.py:run_restart_services:_trace.traced_run:1	pkm/services.py	run_restart_services	_trace.traced_run	trace	pkm-edge:service-restart	[SYSTEMCTL, 'restart', unit]	1494f95f2101c8f839d34f590083138a30a95ff943928f62d7f94679d8fca1ad
pkm/services.py:run_restart_services:subprocess.run:1	pkm/services.py	run_restart_services	subprocess.run	subprocess	pkm-edge:service-restart	[SYSTEMCTL, 'restart', unit]	8c8ebbed89f7e4298f5e0bfec7383632fc73df46b402f328355fcc8e5c13fe51
